kton/a,Electric arc,Integrated steelworks,DRI + Electric arc,Other chemicals,Pharmaceutical products etc.,Cement,Ceramics & other NMM,Glass production,Pulp production,Paper production,Printing and media reproduction,"Food, beverages and tobacco",Alumina production,Aluminium - primary production,Aluminium - secondary production,Other non-ferrous metals,Transport Equipment,Machinery Equipment,Textiles and leather,Wood and wood products,Other Industrial Sectors,Ammonia,HVC,Chlorine,Methanol,HVC (mechanical recycling),HVC (chemical recycling)
IT,19642.86,0.00,2375.13,2502.46,246.22,21341.61,52022.60,5243.73,389.59,8840.82,857.47,24303.47,0.00,0.00,1423.61,1048.95,15915.82,98849.55,16125.87,1925.76,20553.92,692.14,1946.57,358.62,56.15,0.00,0.00
ES,12514.33,0.00,2330.36,1764.52,222.44,14745.26,85824.96,4546.00,1640.90,6195.20,775.00,21601.42,1552.37,112.44,117.56,2010.25,15657.88,29174.79,5308.06,1607.98,17749.26,485.71,2497.02,460.03,72.03,0.00,0.00
PL,6560.13,0.00,2637.90,910.24,43.18,15893.84,8667.89,4272.44,1115.23,4399.34,170.55,15659.43,0.00,0.00,7.58,1518.24,12752.27,21611.39,1539.46,3265.62,5904.12,2671.43,903.15,166.39,26.05,0.00,0.00
SE,2942.00,0.00,1432.44,140.59,22.35,2700.59,1956.82,380.00,11622.00,10255.00,132.05,3477.82,0.00,65.56,109.31,495.74,6971.85,12037.88,341.95,2065.77,8753.66,0.00,1189.24,219.10,34.31,0.00,0.00
NL,3580.35,0.00,3414.79,783.11,69.82,2292.24,2972.00,1402.53,44.20,2643.00,249.63,19062.27,0.00,36.66,38.34,760.31,3406.78,15142.20,1281.81,234.87,6139.78,2792.86,8772.65,1616.19,253.06,0.00,0.00
BE,4873.01,0.00,2384.13,1493.22,177.46,5550.63,13063.63,1396.07,2078.04,2149.23,392.70,12334.71,0.00,0.00,0.00,1971.86,7972.88,5938.97,2693.74,881.53,4498.06,1044.29,3897.23,717.99,112.42,0.00,0.00
FI,2687.80,0.00,1300.50,730.91,38.41,1168.18,1722.79,290.14,10450.00,10320.00,104.37,3828.43,0.00,0.00,27.69,947.45,2314.64,11691.14,374.98,2111.02,3969.93,94.71,901.04,166.00,25.99,0.00,0.00
DK,440.22,0.00,0.00,536.95,113.79,2212.34,7248.06,228.65,4.83,522.71,49.01,5520.53,0.00,0.00,0.00,0.00,617.83,7617.84,290.19,303.15,2425.01,0.00,0.00,0.00,0.00,0.00,0.00
PT,2030.00,0.00,0.00,237.45,13.60,5393.41,8897.62,1705.34,2660.90,2220.20,125.16,4035.30,0.00,0.00,20.68,63.17,1653.00,4360.09,4461.32,458.53,2219.41,0.00,341.06,62.83,9.84,0.00,0.00
RO,2235.57,0.00,1116.43,415.36,13.16,7456.09,9110.14,594.66,0.00,390.69,77.20,4955.98,475.93,155.69,175.34,71.01,6317.79,8974.38,2296.71,1213.53,2777.43,607.14,1031.84,190.10,29.76,0.00,0.00
AT,4206.98,0.00,3480.29,472.20,68.68,4446.93,7507.87,717.37,1812.47,4964.52,209.60,5273.58,0.00,0.00,401.06,311.74,4195.06,17909.99,1053.99,1914.02,5334.98,485.71,761.05,140.21,21.95,0.00,0.00
BG,543.00,0.00,0.00,199.42,9.12,1568.66,2581.41,539.95,135.15,351.37,45.20,2032.98,0.00,0.00,15.58,491.77,498.55,3095.95,774.36,227.91,1859.33,380.07,636.19,117.21,18.35,0.00,0.00
EE,0.00,0.00,0.00,76.67,0.36,423.73,493.61,59.15,235.00,75.00,17.00,551.78,0.00,0.00,0.00,7.71,93.36,1045.14,201.15,467.93,630.06,42.50,0.00,0.00,0.00,0.00,0.00
GR,910.00,0.00,0.00,87.69,9.89,4838.48,6650.00,156.27,0.00,507.74,47.17,4616.64,854.88,83.11,86.89,746.77,393.05,1132.90,490.65,115.27,2232.45,144.50,169.10,31.15,4.88,0.00,0.00
LV,129.67,0.00,0.00,5.48,0.98,1125.44,1081.85,146.00,0.00,45.00,8.07,704.58,0.00,0.00,0.00,0.00,195.74,472.12,109.53,1569.76,355.87,0.00,20.58,3.79,0.59,0.00,0.00
CZ,2831.63,0.00,2429.96,667.33,24.86,4118.53,6962.91,1604.66,435.23,740.32,109.20,4696.25,0.00,0.00,46.82,111.55,13252.96,21019.07,1562.81,880.72,4259.23,218.57,789.45,145.44,22.77,0.00,0.00
HU,927.91,0.00,747.09,425.39,75.44,2417.98,3806.38,483.59,0.00,768.00,71.34,4752.76,200.97,0.00,60.84,0.00,5273.24,7963.80,557.00,244.44,2333.58,400.71,1020.98,188.10,29.45,0.00,0.00
IE,0.00,0.00,0.00,439.25,101.42,1810.45,3170.33,67.00,0.00,60.00,40.00,4354.86,1976.82,0.00,0.00,72.25,774.51,9166.39,220.02,591.01,1947.02,0.00,0.00,0.00,0.00,0.00,0.00
SK,2461.81,0.00,2099.80,184.82,2.63,3318.49,715.43,203.11,707.74,812.21,27.86,1142.76,0.00,101.02,105.63,201.33,4283.65,5241.23,390.90,222.76,894.55,473.57,34.31,6.32,0.99,0.00,0.00
LT,0.00,0.00,0.00,7.04,4.27,820.54,1931.85,88.17,0.00,142.32,13.22,1452.59,0.00,0.00,0.00,0.00,129.86,690.41,461.30,368.78,556.69,1063.71,0.00,0.00,0.00,0.00,0.00
HR,121.54,0.00,0.00,229.13,17.60,2653.62,1054.25,237.80,31.96,288.74,80.17,1764.55,0.00,0.00,28.19,0.00,153.12,1593.85,387.70,204.42,935.62,455.36,0.00,0.00,0.00,0.00,0.00
LU,2127.13,0.00,0.00,97.49,18.63,982.79,556.94,420.70,0.00,0.00,20.98,239.28,0.00,0.00,0.00,0.00,46.84,227.77,418.61,82.82,299.32,0.00,0.00,0.00,0.00,0.00,0.00
SI,603.96,0.00,0.00,133.05,21.55,1320.37,736.65,79.48,90.00,721.35,35.57,590.34,0.00,44.49,65.51,60.50,984.11,3950.90,300.28,212.53,633.80,0.00,89.67,16.52,2.59,0.00,0.00
CY,0.00,0.00,0.00,4.47,6.48,496.30,1579.59,0.00,0.00,0.00,6.96,255.91,0.00,0.00,0.00,0.00,4.66,47.70,6.63,2.02,145.28,0.00,0.00,0.00,0.00,0.00,0.00
MT,0.00,0.00,0.00,8.79,0.00,0.00,0.00,0.00,0.00,0.00,12.13,51.35,0.00,0.00,0.00,0.00,13.39,126.24,23.44,0.00,91.61,0.00,0.00,0.00,0.00,0.00,0.00
